Entry	Entry name	Status	Protein names	Gene names	Organism	Length	yourlist:M2017100483C3DD8CE55183C76102DC5D3A26728BEC41F24
P0A9Q5	ACCD_ECOLI	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	accD dedB usg b2316 JW2313	Escherichia coli (strain K12)	304	P08193
P0A9Q6	ACCD_ECO57	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	accD Z3578 ECs3200	Escherichia coli O157:H7	304	P08193
P63230	GMHBB_SHIFL	reviewed	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB SF0191 S0193	Shigella flexneri	191	P31546
P63229	GMHBB_ECO57	reviewed	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB Z0212 ECs0202	Escherichia coli O157:H7	191	P31546
P63228	GMHBB_ECOLI	reviewed	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB yaeD b0200 JW0196	Escherichia coli (strain K12)	191	P31546
P0A6K8	DEOB_ECO57	reviewed	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	deoB drm thyR Z5985 ECs5342	Escherichia coli O157:H7	407	P07651
P0A6K9	DEOB_SHIFL	reviewed	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	deoB SF4415 S4686	Shigella flexneri	407	P07651
P0A6K6	DEOB_ECOLI	reviewed	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	deoB drm thyR b4383 JW4346	Escherichia coli (strain K12)	407	P07651
P0A6K7	DEOB_ECOL6	reviewed	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	deoB drm thyR c5467	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	407	P07651
P09323	PTW3C_ECOLI	reviewed	PTS system N-acetylglucosamine-specific EIICBA component (EIICBA-Nag) (EII-Nag) [Includes: N-acetylglucosamine permease IIC component (PTS system N-acetylglucosamine-specific EIIC component); N-acetylglucosamine-specific phosphotransferase enzyme IIB component (EC 2.7.1.193) (PTS system N-acetylglucosamine-specific EIIB component); N-acetylglucosamine-specific phosphotransferase enzyme IIA component (EC 2.7.1.193) (PTS system N-acetylglucosamine-specific EIIA component)]	nagE pstN b0679 JW0665	Escherichia coli (strain K12)	648	P09323
P77499	SUFC_ECOLI	reviewed	Probable ATP-dependent transporter SufC	sufC ynhD b1682 JW1672	Escherichia coli (strain K12)	248	P77499
P76658	HLDE_ECOLI	reviewed	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	hldE rfaE waaE yqiF b3052 JW3024	Escherichia coli (strain K12)	477	P76658
P0ABC6	HFLC_SHIFL	reviewed	Modulator of FtsH protease HflC	hflC SF4330 S4598	Shigella flexneri	334	P25661
P0ABC4	HFLC_ECOL6	reviewed	Modulator of FtsH protease HflC	hflC c5259	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	334	P25661
P0ABC5	HFLC_ECO57	reviewed	Modulator of FtsH protease HflC	hflC Z5782 ECs5151	Escherichia coli O157:H7	334	P25661
P0ABC3	HFLC_ECOLI	reviewed	Modulator of FtsH protease HflC	hflC hflA b4175 JW4133	Escherichia coli (strain K12)	334	P25661
P46130	YBHC_ECOLI	reviewed	Putative acyl-CoA thioester hydrolase YbhC (EC 3.1.2.-)	ybhC b0772 JW0755	Escherichia coli (strain K12)	427	P46130
P37754	6PGD9_ECOLX	reviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	gnd	Escherichia coli	468	P37754
P06986	HIS8_ECOLI	reviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase) (HPAT) (HspAT)	hisC b2021 JW2003	Escherichia coli (strain K12)	356	P06986
P0A877	TRPA_ECOLI	reviewed	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA b1260 JW1252	Escherichia coli (strain K12)	268	P00928
P0A878	TRPA_SHIFL	reviewed	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA SF1263 S1349	Shigella flexneri	268	P00928
P18393	YBDZ_ECOLI	reviewed	Enterobactin biosynthesis protein YbdZ	ybdZ b4511 JW0577	Escherichia coli (strain K12)	72	P18393
P0AF30	NARL_ECO57	reviewed	Nitrate/nitrite response regulator protein NarL	narL Z1996 ECs1726	Escherichia coli O157:H7	216	P10957
P0AF31	NARL_SHIFL	reviewed	Nitrate/nitrite response regulator protein NarL	narL SF1224 S1308	Shigella flexneri	216	P10957
P0AF29	NARL_ECOL6	reviewed	Nitrate/nitrite response regulator protein NarL	narL c1681	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	216	P10957
P0AF28	NARL_ECOLI	reviewed	Nitrate/nitrite response regulator protein NarL	narL frdR b1221 JW1212	Escherichia coli (strain K12)	216	P10957
P36672	PTTBC_ECOLI	reviewed	PTS system trehalose-specific EIIBC component (EIIBC-Tre) (EII-Tre) [Includes: Trehalose-specific phosphotransferase enzyme IIB component (EC 2.7.1.201) (PTS system trehalose-specific EIIB component); Trehalose permease IIC component (PTS system trehalose-specific EIIC component)]	treB b4240 JW4199	Escherichia coli (strain K12)	473	P36672
P17993	UBIG_ECOLI	reviewed	Ubiquinone biosynthesis O-methyltransferase (2-octaprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone-8 3-O-methyltransferase) (EC 2.1.1.64)	ubiG pufX yfaB b2232 JW2226	Escherichia coli (strain K12)	240	P17993
P76290	CMOA_ECOLI	reviewed	Carboxy-S-adenosyl-L-methionine synthase (Cx-SAM synthase) (EC 2.1.3.-)	cmoA yecO b1870 JW1859	Escherichia coli (strain K12)	247	P76290
P0C0V0	DEGP_ECOLI	reviewed	Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do)	degP htrA ptd b0161 JW0157	Escherichia coli (strain K12)	474	P09376
P0C0V1	DEGP_ECO57	reviewed	Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do)	degP htrA ptd Z0173 ECs0165	Escherichia coli O157:H7	474	P09376
P0A748	MSRB_ECO57	reviewed	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB Z2817 ECs2487	Escherichia coli O157:H7	137	P39903
P0A746	MSRB_ECOLI	reviewed	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB yeaA b1778 JW1767	Escherichia coli (strain K12)	137	P39903
P0A747	MSRB_ECOL6	reviewed	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB c2183	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	137	P39903
P00954	SYW_ECOLI	reviewed	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS b3384 JW3347	Escherichia coli (strain K12)	334	P00954
P0AEX9	MALE_ECOLI	reviewed	Maltose-binding periplasmic protein (MBP) (MMBP) (Maltodextrin-binding protein)	malE b4034 JW3994	Escherichia coli (strain K12)	396	P02928
P0AEY0	MALE_ECO57	reviewed	Maltose-binding periplasmic protein (MBP) (MMBP) (Maltodextrin-binding protein)	malE Z5632 ECs5017	Escherichia coli O157:H7	396	P02928
P31057	PANB_ECOLI	reviewed	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB b0134 JW0130	Escherichia coli (strain K12)	264	P31057
P77247	HXPB_ECOLI	reviewed	Hexitol phosphatase B (2-deoxyglucose-6-phosphate phosphatase) (EC 3.1.3.68) (Mannitol-1-phosphatase) (EC 3.1.3.22) (Sorbitol-6-phosphatase) (EC 3.1.3.50) (Sugar-phosphatase) (EC 3.1.3.23)	hxpB yniC b1727 JW1716	Escherichia coli (strain K12)	222	P77247
P11349	NARH_ECOLI	reviewed	Respiratory nitrate reductase 1 beta chain (EC 1.7.99.4) (Nitrate reductase A subunit beta) (Quinol-nitrate oxidoreductase subunit beta)	narH b1225 JW1216	Escherichia coli (strain K12)	512	P11349
P23836	PHOP_ECOLI	reviewed	Transcriptional regulatory protein PhoP	phoP b1130 JW1116	Escherichia coli (strain K12)	223	P23836
P30138	THIF_ECOLI	reviewed	Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73)	thiF b3992 JW3956	Escherichia coli (strain K12)	251	P30138
P0AF92	RRAB_SHIFL	reviewed	Regulator of ribonuclease activity B	rraB SF4234 S4495	Shigella flexneri	138	P37163
P0AF90	RRAB_ECOLI	reviewed	Regulator of ribonuclease activity B	rraB yjgD b4255 JW4212	Escherichia coli (strain K12)	138	P37163
P0AF91	RRAB_ECO57	reviewed	Regulator of ribonuclease activity B	rraB Z5867 ECs5232	Escherichia coli O157:H7	138	P37163
P0A995	F16PA_SHIFL	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp SF4258 S4520	Shigella flexneri	332	P09200
P0A993	F16PA_ECOLI	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp fdp b4232 JW4191	Escherichia coli (strain K12)	332	P09200
P0A994	F16PA_ECOL6	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp c5329	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	332	P09200
P0AG62	RS14_SHIFL	reviewed	30S ribosomal protein S14	rpsN SF3339 S4423	Shigella flexneri	101	P02370
P0AG60	RS14_ECOL6	reviewed	30S ribosomal protein S14	rpsN c4071	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	101	P02370
P0AG61	RS14_ECO57	reviewed	30S ribosomal protein S14	rpsN Z4677 ECs4172	Escherichia coli O157:H7	101	P02370
P0AG59	RS14_ECOLI	reviewed	30S ribosomal protein S14 (Small ribosomal subunit protein uS14)	rpsN b3307 JW3269	Escherichia coli (strain K12)	101	P02370
P0ADY8	RL16_ECOL6	reviewed	50S ribosomal protein L16	rplP c4079	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	136	P02414
P0ADY9	RL16_ECO57	reviewed	50S ribosomal protein L16	rplP Z4684 ECs4178	Escherichia coli O157:H7	136	P02414
P0ADY7	RL16_ECOLI	reviewed	50S ribosomal protein L16 (Large ribosomal subunit protein uL16)	rplP b3313 JW3275	Escherichia coli (strain K12)	136	P02414
P36929	RSMB_ECOLI	reviewed	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	rsmB fmu/fmv rrmB sun yhdB b3289 JW3250	Escherichia coli (strain K12)	429	P36929
P0A8K4	PSD_SHIFL	reviewed	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd SF4318 S4582	Shigella flexneri	322	P10740
P0A8K2	PSD_ECOL6	reviewed	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd c5247	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	322	P10740
P0A8K3	PSD_ECO57	reviewed	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd Z5766 ECs5139	Escherichia coli O157:H7	322	P10740
P0A8K1	PSD_ECOLI	reviewed	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd b4160 JW4121	Escherichia coli (strain K12)	322	P10740
P0AEN0	FLIY_ECOL6	reviewed	L-cystine-binding protein FliY (CBP) (Protein FliY)	fliY c2335	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	266	P39174
P0AEM9	FLIY_ECOLI	reviewed	L-cystine-binding protein FliY (CBP) (Protein FliY) (Sulfate starvation-induced protein 7) (SSI7)	fliY yzzR b1920 JW1905	Escherichia coli (strain K12)	266	P39174
P04693	TYRB_ECOLI	reviewed	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57) (Beta-methylphenylalanine transaminase) (EC 2.6.1.107)	tyrB b4054 JW4014	Escherichia coli (strain K12)	397	P04693
P0AB63	YCIN_ECO57	reviewed	Protein YciN	yciN Z2537 ECs1845	Escherichia coli O157:H7	83	P46132
P0AB64	YCIN_SHIFL	reviewed	Protein YciN	yciN SF1275 S1360	Shigella flexneri	83	P46132
P0AB61	YCIN_ECOLI	reviewed	Protein YciN	yciN b1273 JW1265	Escherichia coli (strain K12)	83	P46132
P0AB62	YCIN_ECOL6	reviewed	Protein YciN	yciN c1739	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	83	P46132
P23917	MAK_ECOLI	reviewed	Fructokinase (EC 2.7.1.4) (D-fructose kinase) (Manno(fructo)kinase)	mak yajF b0394 JW0385	Escherichia coli (strain K12)	302	P23917
P25437	FRMA_ECOLI	reviewed	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase class-3) (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-)	frmA adhC b0356 JW0347	Escherichia coli (strain K12)	369	P25437
P0ADA2	TESA_ECOL6	reviewed	Thioesterase 1/protease 1/lysophospholipase L1 (TAP) (Acyl-CoA thioesterase 1) (TESA) (EC 3.1.2.2) (Acyl-CoA thioesterase I) (Arylesterase) (EC 3.1.1.2) (Lysophospholipase L1) (EC 3.1.1.5) (Oleoyl-[acyl-carrier-protein] hydrolase) (EC 3.1.2.14) (Phospholipid degradation C) (Pldc) (Protease 1) (EC 3.4.21.-) (Protease I) (Thioesterase I/protease I) (TEP-I)	tesA c0615	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	208	P29679
P0ADA1	TESA_ECOLI	reviewed	Thioesterase 1/protease 1/lysophospholipase L1 (TAP) (Acyl-CoA thioesterase 1) (TESA) (EC 3.1.2.2) (Acyl-CoA thioesterase I) (Arylesterase) (EC 3.1.1.2) (Lysophospholipase L1) (EC 3.1.1.5) (Oleoyl-[acyl-carrier-protein] hydrolase) (EC 3.1.2.14) (Phospholipid degradation C) (Pldc) (Protease 1) (EC 3.4.21.-) (Protease I) (Thioesterase I/protease I) (TEP-I)	tesA apeA pldC b0494 JW0483	Escherichia coli (strain K12)	208	P29679
P09372	GRPE_ECOLI	reviewed	Protein GrpE (HSP-70 cofactor) (HSP24) (Heat shock protein B25.3)	grpE b2614 JW2594	Escherichia coli (strain K12)	197	P09372
P32721	ALSA_ECOLI	reviewed	D-allose import ATP-binding protein AlsA (EC 3.6.3.17)	alsA yjcW b4087 JW4048	Escherichia coli (strain K12)	510	P32721
P23909	MUTS_ECOLI	reviewed	DNA mismatch repair protein MutS	mutS fdv b2733 JW2703	Escherichia coli (strain K12)	853	P23909
P0AE24	ARAE_ECOLI	reviewed	Arabinose-proton symporter (Arabinose transporter)	araE b2841 JW2809	Escherichia coli (strain K12)	472	P09830
P0AE25	ARAE_ECO57	reviewed	Arabinose-proton symporter (Arabinose transporter)	araE Z4161 ECs3698	Escherichia coli O157:H7	472	P09830
P0A800	RPOZ_ECOLI	reviewed	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ b3649 JW3624	Escherichia coli (strain K12)	91	P08374
P0A803	RPOZ_SALTY	reviewed	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ STM3741	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	91	P08374
P0A804	RPOZ_SALTI	reviewed	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ STY4051 t3777	Salmonella typhi	91	P08374
P0A801	RPOZ_ECOL6	reviewed	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ c4474	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	91	P08374
P0A802	RPOZ_ECO57	reviewed	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ Z5075 ECs4524	Escherichia coli O157:H7	91	P08374
P0A7Y3	RNC_SHIFL	reviewed	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc SF2629 S2802	Shigella flexneri	226	P05797
P0A7Y1	RNC_ECOL6	reviewed	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc c3091	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	226	P05797
P0A7Y2	RNC_ECO57	reviewed	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc Z3848 ECs3433	Escherichia coli O157:H7	226	P05797
P0A7Y0	RNC_ECOLI	reviewed	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc b2567 JW2551	Escherichia coli (strain K12)	226	P05797
P0AB81	ILVE_ECOL6	reviewed	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B)	ilvE c4692	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	309	P00510
P0AB82	ILVE_ECO57	reviewed	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B)	ilvE Z5281 ECs4704	Escherichia coli O157:H7	309	P00510
P0AB80	ILVE_ECOLI	reviewed	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B)	ilvE b3770 JW5606	Escherichia coli (strain K12)	309	P00510
P0AG10	RPE_SHIFL	reviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	rpe SF3404 S4358	Shigella flexneri	225	P32661
P0AG08	RPE_ECOL6	reviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	rpe c4156	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	225	P32661
P0AG09	RPE_ECO57	reviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	rpe Z4739 ECs4228	Escherichia coli O157:H7	225	P32661
P0AG07	RPE_ECOLI	reviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	rpe dod yhfD b3386 JW3349	Escherichia coli (strain K12)	225	P32661
P0AAC3	USPE_SHIFL	reviewed	Universal stress protein E	uspE SF1837 S1433	Shigella flexneri	316	P03807
P0AAC1	USPE_ECOL6	reviewed	Universal stress protein E	uspE c1806	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	316	P03807
P0AAC2	USPE_ECO57	reviewed	Universal stress protein E	uspE Z2435 ECs1914	Escherichia coli O157:H7	316	P03807
P0AAC0	USPE_ECOLI	reviewed	Universal stress protein E	uspE ydaA b1333 JW1327	Escherichia coli (strain K12)	316	P03807
P0A8J7	YBED_SHIFL	reviewed	UPF0250 protein YbeD	ybeD SF0650 S0672	Shigella flexneri	87	P30977
P0A8J5	YBED_ECOL6	reviewed	UPF0250 protein YbeD	ybeD c0721	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	87	P30977
P0A8J6	YBED_ECO57	reviewed	UPF0250 protein YbeD	ybeD Z0776 ECs0669	Escherichia coli O157:H7	87	P30977
P0A8J4	YBED_ECOLI	reviewed	UPF0250 protein YbeD	ybeD b0631 JW0626	Escherichia coli (strain K12)	87	P30977
P0ABS8	HOLE_ECOLI	reviewed	DNA polymerase III subunit theta (EC 2.7.7.7)	holE b1842 JW1831	Escherichia coli (strain K12)	76	P28689
P0ABS9	HOLE_ECOL6	reviewed	DNA polymerase III subunit theta (EC 2.7.7.7)	holE c2252	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	76	P28689
P0ABT1	HOLE_SHIFL	reviewed	DNA polymerase III subunit theta (EC 2.7.7.7)	holE SF1852.1 S1918	Shigella flexneri	76	P28689
P0ABT0	HOLE_ECO57	reviewed	DNA polymerase III subunit theta (EC 2.7.7.7)	holE Z2891 ECs2552	Escherichia coli O157:H7	76	P28689
P0A7K5	RL7_SHIFL	reviewed	50S ribosomal protein L7/L12 (L8)	rplL SF4059 S3676	Shigella flexneri	121	P02392
P0A7K3	RL7_ECOL6	reviewed	50S ribosomal protein L7/L12 (L8)	rplL c4943	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	121	P02392
P0A7K4	RL7_ECO57	reviewed	50S ribosomal protein L7/L12 (L8)	rplL Z5559 ECs4909	Escherichia coli O157:H7	121	P02392
P0A7K2	RL7_ECOLI	reviewed	50S ribosomal protein L7/L12 (L8) (Large ribosomal subunit protein bL12)	rplL b3986 JW3949	Escherichia coli (strain K12)	121	P02392
P23003	TRMA_ECOLI	reviewed	tRNA/tmRNA (uracil-C(5))-methyltransferase (EC 2.1.1.-) (EC 2.1.1.35) (tRNA (uracil(54)-C(5))-methyltransferase) (tRNA(m5U54)-methyltransferase) (RUMT) (tmRNA (uracil(341)-C(5))-methyltransferase)	trmA b3965 JW3937	Escherichia coli (strain K12)	366	P23003
P39401	OPGB_ECOLI	reviewed	Phosphoglycerol transferase I (EC 2.7.8.20) (Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase)	mdoB opgB yjjO b4359 JW5794	Escherichia coli (strain K12)	763	P39401
P0ADZ3	RL23_SHIFL	reviewed	50S ribosomal protein L23	rplW SF3350 S4412	Shigella flexneri	100	P02424
P0ADZ1	RL23_ECOL6	reviewed	50S ribosomal protein L23	rplW c4087	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	100	P02424
P0ADZ2	RL23_ECO57	reviewed	50S ribosomal protein L23	rplW Z4689 ECs4183	Escherichia coli O157:H7	100	P02424
P0ADZ0	RL23_ECOLI	reviewed	50S ribosomal protein L23 (Large ribosomal subunit protein uL23)	rplW b3318 JW3280	Escherichia coli (strain K12)	100	P02424
P45756	GSPA_ECOLI	reviewed	Putative general secretion pathway protein A	gspA yheD b3323 JW3285	Escherichia coli (strain K12)	489	P45756
P0AD98	LIVJ_ECO57	reviewed	Leu/Ile/Val-binding protein (LIV-BP)	livJ Z4834 ECs4309	Escherichia coli O157:H7	367	P02917
P0AD96	LIVJ_ECOLI	reviewed	Leu/Ile/Val-binding protein (LIV-BP)	livJ b3460 JW3425	Escherichia coli (strain K12)	367	P02917
P0AD97	LIVJ_ECOL6	reviewed	Leu/Ile/Val-binding protein (LIV-BP)	livJ c4253	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	367	P02917
P77293	GTRB_ECOLI	reviewed	Prophage bactoprenol glucosyl transferase homolog (EC 2.4.1.-) (Bactoprenol glucosyl transferase homolog from prophage CPS-53)	yfdH b2351 JW2347	Escherichia coli (strain K12)	306	P77293
P21599	KPYK2_ECOLI	reviewed	Pyruvate kinase II (EC 2.7.1.40) (PK-2)	pykA b1854 JW1843	Escherichia coli (strain K12)	480	P21599
P0A9I3	GCVR_ECOLI	reviewed	Glycine cleavage system transcriptional repressor (gcv operon repressor)	gcvR yffD b2479 JW2464	Escherichia coli (strain K12)	190	P23483
P0A9I4	GCVR_SHIFL	reviewed	Glycine cleavage system transcriptional repressor (Gcv operon repressor)	gcvR SF2522 S2672	Shigella flexneri	190	P23483
P0AAR4	YBAK_SHIFL	reviewed	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (EC 4.2.-.-)	ybaK SF0426 S0433	Shigella flexneri	159	P37175
P0AAR3	YBAK_ECOLI	reviewed	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (EC 4.2.-.-)	ybaK b0481 JW0470	Escherichia coli (strain K12)	159	P37175
P31133	POTF_ECOLI	reviewed	Putrescine-binding periplasmic protein	potF b0854 JW0838	Escherichia coli (strain K12)	370	P31133
P0AGF0	SUCD_ECOL6	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD c0806	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	289	P07459
